,eccentricity,argument of perigee,inclination,mean anomaly,Brouwer mean motion,right ascension
47:25.6,0.0011386,0.602590632,1.605966457,-0.599124408,0.063404823,2.619381415
24:19.7,0.0011353,0.585917502,1.605973438,-0.58256647,0.063404818,2.620540313
12:42.8,0.0011191,0.537632968,1.605961221,-0.534372693,0.063404838,2.624887929
01:05.9,0.0010807,0.500176457,1.605952494,-0.497157037,0.063404666,2.629221581
10:16.2,0.0010835,0.440922529,1.60595773,-0.437941507,0.063404406,2.633291689
58:39.8,0.0010699,0.37487927,1.605959475,-0.371992495,0.063404444,2.637642795
44:44.0,0.0010383,0.310158971,1.605966457,-0.307483381,0.063404423,2.642842131
33:07.5,0.0010327,0.24895551,1.605964711,-0.246423037,0.06340443,2.647179274
56:05.9,0.0010004,0.15841481,1.605964711,-0.155966113,0.06340454,2.653556707
05:15.8,0.0009817,0.107618747,1.605966457,-0.105273024,0.063404537,2.657614597
42:10.0,0.0009764,0.091842716,1.605964711,-0.089540627,0.063404546,2.658770005
28:14.1,0.0009574,0.034107224,1.605962966,-0.0320425,0.063404499,2.663979813
11:58.9,0.0009423,6.225409673,1.605955985,-6.223406035,0.063404592,2.670065776
00:22.2,0.000919,6.165932343,1.605949003,-6.16400899,0.063404606,2.674402919
25:39.8,0.0008822,6.101903194,1.605933295,-6.100178808,0.063404586,2.679912924
11:43.9,0.0008907,6.019874464,1.605935041,-6.018251308,0.063404587,2.685126222
57:47.9,0.0008651,5.930414123,1.605917587,-5.928783985,0.063404619,2.690351738
43:51.9,0.0008364,5.861452673,1.605917587,-5.86000405,0.063404647,2.695558055
29:55.8,0.0008075,5.777961358,1.605928059,-5.776662833,0.063404629,2.700759136
18:19.1,0.0008004,5.70540453,1.605926314,-5.704191526,0.063404646,2.705103261
04:23.2,0.0007901,5.621674105,1.605928059,-5.620576293,0.063404614,2.710327031
52:46.5,0.0007724,5.543975537,1.605919333,-5.542996407,0.063404602,2.714664175
38:50.5,0.0007582,5.450436361,1.605919333,-5.449364729,0.063404694,2.719867001
22:35.0,0.0007385,5.34565552,1.605919333,-5.34475842,0.063404698,2.725940747
10:58.2,0.0007272,5.266768383,1.605917587,-5.265892227,0.063404709,2.730281381
57:02.1,0.000714,5.179622348,1.605898389,-5.178833459,0.063404712,2.735496425
45:25.3,0.0007052,5.1083623,1.605893153,-5.107604827,0.063404725,2.739830077
31:29.1,0.0007008,4.969683673,1.605901879,-4.96884417,0.063404803,2.745036394
19:52.1,0.0006988,4.882085598,1.605903625,-4.881279256,0.063404849,2.749378773
03:36.4,0.000693,4.778645169,1.605896643,-4.777974963,0.063404839,2.755461246
51:59.4,0.0006915,4.68538001,1.605903625,-4.684734238,0.063404855,2.759800134
38:03.1,0.0006901,4.590580707,1.60590537,-4.589807526,0.063404916,2.765013433
26:26.1,0.0006843,4.519217684,1.605900134,-4.518409597,0.063404923,2.769326141
33:16.0,0.0006965,4.399090162,1.605901879,-4.398207026,0.063405003,2.77424797
19:19.4,0.0007105,4.296309468,1.605901879,-4.295468219,0.06340503,2.779456032
07:42.3,0.0007176,4.213997995,1.605893153,-4.213132312,0.06340505,2.783794921
53:45.8,0.0007373,4.119682148,1.605886171,-4.118778067,0.063405043,2.788997747
39:49.2,0.0007363,4.025265071,1.60587919,-4.024347028,0.063405034,2.794216282
07:25.6,0.0007431,3.931429189,1.60587919,-3.930331377,0.063405076,2.79884315
11:56.2,0.0007348,3.824384656,1.605880935,-3.823162925,0.063405071,2.804628916
21:06.0,0.0007614,3.737439334,1.60587919,-3.736292652,0.063404759,2.808685061
07:10.4,0.0007769,3.647202321,1.605886171,-3.645863653,0.063404622,2.81389836
30:09.1,0.0007922,3.550882835,1.605891407,-3.549280623,0.063404625,2.820256594
25:23.1,0.0008342,3.394248261,1.605891407,-3.392534348,0.063404663,2.829512075
29:54.4,0.000851,3.30155557,1.605898389,-3.299813732,0.063404597,2.835285625
15:58.6,0.0008708,3.226316171,1.605900134,-3.224316024,0.063404666,2.840502414
02:02.7,0.0009002,3.157592087,1.605894898,-3.155422643,0.063404702,2.84570524
50:26.1,0.0008981,3.097489929,1.605889662,-3.095271615,0.063404712,2.850045874
34:10.8,0.0009236,3.00629473,1.605875699,-3.003955989,0.06340472,2.85611962
22:34.1,0.0009517,2.944384411,1.605884426,-2.941972366,0.063404711,2.860458508
10:57.4,0.0009784,2.89640531,1.605887917,-2.893871092,0.063404741,2.864811359
57:01.5,0.0009756,2.830482478,1.605887917,-2.827698678,0.063404802,2.870012441
45:24.7,0.0009936,2.777981229,1.605891407,-2.775089219,0.063404806,2.874356565
31:28.6,0.0010148,2.707000434,1.605896643,-2.703979269,0.06340484,2.879550665
59:05.3,0.0010311,2.652437951,1.605910606,-2.649352209,0.063404859,2.884184514
47:28.5,0.0010545,2.593239873,1.605908861,-2.590009269,0.063404884,2.888526893
10:26.5,0.0010595,2.502282039,1.605903625,-2.498883883,0.063404889,2.894876401
54:10.9,0.0010928,2.442907683,1.605903625,-2.439385609,0.063404884,2.900960619
42:34.0,0.0011121,2.391156926,1.60590537,-2.387526641,0.063404927,2.905301253
28:37.7,0.0011124,2.326309217,1.605894898,-2.322633554,0.063404893,2.910511061
17:00.8,0.0011299,2.276846586,1.605898389,-2.2731046,0.063404876,2.914842968
03:04.6,0.0011441,2.211506695,1.605900134,-2.207534326,0.063404933,2.92005103
51:27.7,0.0011502,2.162194163,1.605901879,-2.15809962,0.063404919,2.924375956
35:11.9,0.0011574,2.089394734,1.605896643,-2.085274012,0.063404943,2.930461919
23:34.9,0.0011709,2.040748917,1.605901879,-2.036537438,0.063404948,2.934806044
09:38.6,0.0011827,1.97895728,1.605914097,-1.974728348,0.063404905,2.940021088
55:42.2,0.0011903,1.926230884,1.605924569,-1.921839635,0.063404966,2.945227405
44:05.2,0.0011896,1.871532265,1.605928059,-1.867104365,0.06340496,2.949564548
27:49.3,0.0012052,1.807346036,1.605933295,-1.802891956,0.063404978,2.95564702
16:12.2,0.0012189,1.761363592,1.60593155,-1.756837953,0.063405014,2.959996381
02:15.7,0.0012306,1.701664605,1.605922823,-1.697184345,0.063404982,2.965202698
48:19.1,0.0012355,1.642953474,1.605924569,-1.638358022,0.06340505,2.970419487
36:41.9,0.0012432,1.597630764,1.605922823,-1.59302484,0.063405055,2.974770593
20:26.1,0.0012556,1.533486423,1.605922823,-1.529088194,0.063404868,2.980854811
08:49.9,0.0012532,1.469659733,1.605933295,-1.46516551,0.063404587,2.985193699
54:54.2,0.0012173,1.420226772,1.605929805,-1.415708115,0.06340454,2.990401762
40:58.4,0.0012079,1.361623852,1.605945513,-1.357098213,0.063404578,2.995622042
29:21.8,0.0012021,1.310396693,1.605950749,-1.30590247,0.063404605,2.999952203
17:45.2,0.0012004,1.266936249,1.605950749,-1.262454244,0.063404622,3.0043068
01:29.8,0.0012093,1.205085271,1.60595773,-1.200701004,0.063404648,3.01040149
49:53.2,0.0011994,1.153268191,1.605955985,-1.14894152,0.063404669,3.014729906
35:57.1,0.0011976,1.098965762,1.605955985,-1.094834568,0.063404616,3.019939714
24:20.4,0.0011902,1.05612491,1.605949003,-1.052004188,0.063404658,3.024294311
10:24.4,0.0011835,0.992005004,1.605940277,-0.987803997,0.063404698,3.0295111
58:47.6,0.0011744,0.939620692,1.605947258,-0.935541858,0.063404709,3.033839516
05:37.9,0.0011559,0.887772196,1.605940277,-0.883864404,0.063404708,3.038787525
30:55.3,0.0011432,0.828436237,1.605952494,-0.824641892,0.063404706,3.044302765
16:59.1,0.0011323,0.747920708,1.605950749,-0.744304386,0.063404692,3.049507337
03:03.1,0.0011177,0.685902179,1.605962966,-0.68233298,0.063404695,3.054720635
26:01.0,0.0011045,0.613018974,1.605982165,-0.609622564,0.063404716,3.061094578
12:04.8,0.0010793,0.561533507,1.60598391,-0.558334318,0.063404696,3.066314858
58:08.9,0.0010645,0.489564855,1.605987401,-0.486493076,0.063404574,3.071528156
46:32.5,0.0010531,0.416493155,1.605976929,-0.413566238,0.063404483,3.075872281
30:17.6,0.0010402,0.341691834,1.605978674,-0.338869637,0.063404439,3.081956498
18:41.2,0.0010365,0.285120477,1.605976929,-0.282437906,0.063404441,3.086305859
04:45.4,0.0010064,0.232643663,1.605976929,-0.23011119,0.06340447,3.091536611
53:08.8,0.0009877,0.178690299,1.605976929,-0.176273018,0.063404477,3.095887716
39:13.0,0.0009662,0.11905938,1.605980419,-0.116692714,0.063404507,3.101127195
22:57.8,0.0009347,0.054717817,1.606003108,-0.052509976,0.063404534,3.107232357
11:21.2,0.0009319,6.264225796,1.60601009,-6.262147108,0.063404551,3.111581717
57:25.3,0.0009088,6.184102966,1.606020562,-6.182235463,0.063404526,3.116805488
45:48.7,0.0008908,6.12311418,1.606027543,-6.121314746,0.063404539,3.121153103
34:12.1,0.0008791,6.053213744,1.606024052,-6.051559171,0.063404539,3.125483265
20:16.2,0.0008603,5.967394159,1.606029288,-5.96572737,0.063404604,3.13070529
06:20.1,0.0008406,5.883595666,1.606029288,-5.882126098,0.063404607,3.135937787
29:18.4,0.0008269,5.789059907,1.606027543,-5.787805015,0.063404577,3.142320456
15:22.4,0.000805,5.696702319,1.606024052,-5.695436955,0.063404632,3.147542481
22:12.9,0.0007855,5.623004046,1.606022307,-5.621852128,0.063404628,3.152483508
10:36.2,0.0007644,5.545305478,1.606018816,-5.544211157,0.063404638,3.156831123
38:13.1,0.0007604,5.473644004,1.606029288,-5.472617751,0.063404655,3.161471954
26:36.5,0.0007549,5.386405467,1.606034524,-5.385462989,0.063404639,3.165833532
33:26.9,0.0007401,5.29545636,1.60603976,-5.29461162,0.063404621,3.170776304
21:50.3,0.0007321,5.228343214,1.606044996,-5.22758225,0.063404603,3.175134391
04:40.3,0.0007028,4.995277182,1.606057214,-2.715386741,0.063404641,3.180194101
51:17.1,0.000706,4.913440438,1.606058959,-2.746024251,0.063404655,3.184545206
22:23.5,0.0007111,4.833218125,1.606060704,-3.76023857,0.063404674,3.188850934
21:31.0,0.0007147,4.727920665,1.606064195,-1.512596578,0.063404701,3.194467403
36:27.7,0.0007216,4.625592011,1.606067686,-2.065530847,0.063404726,3.199956464
15:50.5,0.0007321,4.548568886,1.606069431,-2.558917973,0.063404749,3.20428488
22:45.3,0.0007457,4.396850905,1.606074667,-1.814210416,0.063404775,3.21273751
21:16.0,0.0007542,4.298325323,1.606078158,-3.411635231,0.063404521,3.218179446
12:28.3,0.0007653,4.22242619,1.606079903,-3.157695061,0.063404541,3.222544515
16:25.0,0.0007801,4.126993332,1.606079903,-0.615040066,0.063404565,3.228178438
49:12.3,0.0007974,4.04388948,1.606081648,-1.373019107,0.063404585,3.233372538
39:19.2,0.0008095,3.971920828,1.606081648,-1.191902799,0.063404607,3.237735861
24:17.9,0.0008229,3.902235067,1.606081648,-1.33834116,0.063404623,3.242085221
15:50.5,0.0007691,3.642647011,1.60606594,-3.641468914,0.063404625,3.259973101
40:59.2,0.0008974,3.558829319,1.606083394,-1.230080132,0.063404689,3.26444987
06:18.1,0.0009124,3.500744762,1.606085139,-2.633035125,0.063404708,3.268741635
14:35.8,0.0009368,3.400116058,1.606086884,-0.830841301,0.063404695,3.275792765
34:57.2,0.0009554,3.321063115,1.60608863,-1.064300033,0.063404687,3.281301024
51:40.0,0.0009753,3.242964867,1.60608863,-0.213935478,0.063404688,3.287151368
09:44.9,0.0009929,3.171291176,1.60608863,-0.598885298,0.063404698,3.292654391
29:33.1,0.0010117,3.096889535,1.60608863,-0.871983948,0.06340471,3.29816265
55:42.0,0.0010253,3.041908173,1.60608863,-2.225317486,0.063404729,3.302457905
47:56.6,0.0010392,2.987354417,1.606090375,-1.926681179,0.06340474,3.306829955
45:28.0,0.0010551,2.918843262,1.60609212,-6.100311453,0.063404771,3.31244817
02:29.1,0.0010704,2.852512024,1.606093866,-0.274580434,0.06340479,3.317945957
42:20.2,0.0010818,2.801255195,1.606093866,-0.763773534,0.063404807,3.322281355
53:06.0,0.0010957,2.737362182,1.606093866,-1.619681254,0.063404834,3.327761689
36:14.4,0.0011092,2.669522979,1.606095611,-0.421490033,0.063404857,3.333336271
50:01.5,0.0011153,2.636654938,1.60609212,-1.558640109,0.063404486,3.336188139
12:32.7,0.0011236,2.552263033,1.606097356,-1.356166207,0.063404526,3.343464416
47:50.8,0.0011398,2.477941677,1.606093866,-0.50141215,0.063404555,3.349895954
31:29.2,0.0011479,2.409364201,1.60609212,-0.43973396,0.063404591,3.356002862
42:52.1,0.0011586,2.344261674,1.606090375,-1.255657932,0.063404615,3.361486686
20:55.7,0.0011671,2.293685523,1.60608863,-1.859342885,0.063404646,3.365818593
36:02.7,0.0011722,2.234979628,1.60608863,-6.244391874,0.063404671,3.371138357
39:33.0,0.0011789,2.185084156,1.60608863,-5.237363075,0.063404676,3.375541823
00:07.2,0.0011836,2.136043894,1.60608863,-0.666734973,0.063404675,3.379819625
43:23.8,0.001189,2.073206805,1.606086884,-5.748297742,0.063404678,3.385394206
11:23.9,0.0011909,2.011001525,1.606085139,-1.715272937,0.063404671,3.391099687
22:33.0,0.0011932,1.947241157,1.606085139,-5.030855718,0.063404664,3.3967563
38:25.9,0.0011947,1.885550749,1.606085139,-5.565149872,0.063404658,3.402252341
17:58.6,0.0011955,1.820736202,1.606081648,-0.798496859,0.063404662,3.407992729
33:39.2,0.0011872,1.697210525,1.606079903,-5.369985409,0.063404411,3.419113967
00:08.6,0.0011839,1.648711315,1.606078158,-0.425424005,0.063404429,3.423410968
33:00.4,0.0011781,1.586097628,1.606076412,-6.16711044,0.06340445,3.428954134
03:17.0,0.0011714,1.537289496,1.606076412,-0.982358569,0.063404466,3.433261606
12:12.0,0.0011629,1.473220204,1.606076412,-4.439557366,0.063404488,3.438909492
26:22.2,0.0011564,1.424724486,1.606076412,-0.274969642,0.063404509,3.443168095
52:33.5,0.0011473,1.361014732,1.606074667,-0.154852593,0.063404544,3.448692062
42:59.8,0.0011149,1.195252086,1.606071176,-0.726241974,0.063404625,3.462897297
18:56.3,0.0011032,1.130994299,1.606071176,-6.270995928,0.063404651,3.46845268
31:38.3,0.0010897,1.068356178,1.606067686,-4.522025919,0.063404682,3.473761972
03:24.6,0.0010776,1.016898635,1.606064195,-5.522829128,0.063404701,3.478071189
43:24.3,0.0010655,0.964765651,1.606060704,-6.002155882,0.063404716,3.482406587
05:00.8,0.0010482,0.896741443,1.606057214,-6.167447288,0.063404731,3.487914846
53:10.5,0.0010357,0.843405926,1.606055468,-6.128512484,0.063404744,3.492272934
40:34.0,0.0010228,0.789616624,1.606053723,-6.137774946,0.06340475,3.49662753
04:00.0,0.0010044,0.721725062,1.606055468,-3.703649759,0.063404758,3.501963002
30:28.6,0.0009934,0.66900041,1.606053723,-5.038355398,0.063404764,3.506256512
19:22.3,0.0009784,0.609479447,1.606051978,-4.94676401,0.063404422,3.510614599
34:18.1,0.0009572,0.541666424,1.606048487,-5.535601447,0.063404423,3.516103659
34:08.8,0.0009392,0.466196642,1.606046742,-5.756610745,0.063404455,3.521898152
21:14.5,0.0009191,0.387312996,1.606044996,-4.29756436,0.063404469,3.527481461
37:19.8,0.000898,0.308415387,1.606043251,-4.801903427,0.063404482,3.532974012
01:13.2,0.0008815,0.233856666,1.60603976,-4.816595609,0.063404504,3.538489252
37:21.8,0.0008657,0.170064882,1.606034524,-5.528464796,0.063404529,3.542812433
27:10.0,0.0008506,0.105384726,1.606032779,-5.374476141,0.063404552,3.547172265
54:24.1,0.0008324,0.022060962,1.606034524,-5.168464458,0.063404577,3.552694487
03:30.0,0.0008147,6.219269605,1.606034524,-3.624211098,0.063404597,3.557986325
39:15.6,0.0007834,6.055250543,1.606034524,-4.546345337,0.063404634,3.568095272
20:14.9,0.0007706,5.982925844,1.606032779,-4.942744516,0.063404652,3.572427179
46:09.2,0.0007561,5.892008153,1.606031034,-4.81315731,0.063404677,3.577945911
09:12.8,0.0007421,5.795275024,1.606025798,-4.857842975,0.063404703,3.583455915
13:11.2,0.0007321,5.715726407,1.606022307,-3.791457274,0.06340472,3.587857635
35:11.7,0.0007208,5.615434553,1.606018816,-3.899065549,0.063404739,3.593365894
17:28.6,0.0007065,5.489449706,1.60601358,-3.718731149,0.06340456,3.600338485
15:16.6,0.0007004,5.370697504,1.606011835,-4.025767726,0.063404567,3.606119015
10:31.7,0.0006923,5.278149675,1.606011835,-3.351871667,0.063404578,3.611368966
04:06.6,0.000689,5.195436776,1.60601009,-2.940555158,0.063404581,3.61573578
28:41.6,0.0006857,5.090992783,1.60601009,-2.881238398,0.063404578,3.621244039
15:25.3,0.0006843,5.008539939,1.60601009,-2.904067305,0.063404573,3.625591654
45:30.7,0.0006871,4.921807547,1.60601009,-3.976263207,0.063404568,3.629888654
11:36.4,0.0006882,4.818936095,1.606006599,-3.822792915,0.063404566,3.63540564
02:13.5,0.0006896,4.737331481,1.606004854,-3.600219802,0.063404566,3.639765473
45:58.7,0.0006959,4.630972861,1.606001363,-2.325047344,0.06340457,3.645333073
04:20.3,0.0007226,4.350945255,1.605994382,-3.351026928,0.063404622,3.660650082
56:03.0,0.0007325,4.27331301,1.605994382,-3.063131377,0.06340464,3.66501166
38:36.9,0.0007474,4.176070245,1.605996127,-1.872284502,0.063404665,3.670570534
02:55.0,0.0007648,4.08001605,1.605996127,-4.322868143,0.063404685,3.676253326
40:53.6,0.0007809,3.988597449,1.605997872,-3.428285673,0.063404704,3.681798237
48:35.0,0.0007992,3.903489959,1.605999618,-1.973911533,0.063404715,3.687081349
36:57.5,0.0008142,3.835184753,1.605997872,-1.90649121,0.063404735,3.691430709
25:35.1,0.0008254,3.766703269,1.605996127,-1.822963242,0.063404752,3.69578356
34:28.2,0.000845,3.678724712,1.605992636,-1.458397123,0.063404774,3.701598997
37:48.4,0.0008681,3.599654316,1.605990891,-2.769425625,0.063404791,3.70704617
41:05.7,0.0008868,3.523454986,1.605987401,-1.602577027,0.063404805,3.712317064
08:37.3,0.0009312,3.338490228,1.60598391,-1.267767026,0.063404844,3.725372127
37:22.0,0.0009804,3.148114949,1.605985655,-3.186889184,0.06340486,3.739477878
19:51.1,0.0010224,2.985853434,1.605985655,-0.758860432,0.06340486,3.752049485
28:19.9,0.0009959,2.734761641,1.605975183,-2.73205289,0.063404874,3.76557055
44:16.6,0.0010769,2.764648659,1.605982165,-1.016703159,0.063404892,3.770005432
33:03.6,0.0010876,2.711550507,1.605982165,-0.93831344,0.063404906,3.774356538
12:52.1,0.0011,2.661227429,1.605982165,-1.431089701,0.063404931,3.778679718
30:38.9,0.0011059,2.612143534,1.605982165,-0.836550273,0.063404575,3.782763789
06:14.7,0.0011163,2.545583658,1.605985655,-0.117661372,0.063404591,3.788301719
35:54.6,0.0011275,2.493852099,1.605987401,-6.219468572,0.063404601,3.792944294
16:36.1,0.0011366,2.433233323,1.605990891,-0.216223605,0.06340462,3.798145376
04:30.2,0.0011444,2.383583942,1.605992636,-0.197576507,0.063404631,3.802491245
15:20.0,0.0011509,2.33562404,1.605994382,-2.527985503,0.063404646,3.806728905
11:31.2,0.0011588,2.272397742,1.605994382,-0.508615124,0.063404669,3.812327921
53:30.2,0.0011655,2.209799763,1.605994382,-5.67232356,0.063404691,3.817886795
40:40.3,0.0011712,2.162482142,1.605992636,-5.702311807,0.063404713,3.822232665
54:24.2,0.0011751,2.100015063,1.605990891,-0.088729049,0.063404726,3.827709508
16:27.6,0.0011785,2.038656267,1.605990891,-0.232263181,0.063404748,3.833210786
23:46.7,0.0011815,1.973757944,1.605990891,-6.273151409,0.06340477,3.839017496
49:30.2,0.0011846,1.914702984,1.605992636,-6.186628457,0.063404783,3.8445275
32:16.2,0.0011844,1.865406159,1.605996127,-0.210092263,0.063404783,3.848857662
40:40.1,0.0011852,1.81157846,1.605997872,-0.057505108,0.063404799,3.853789963
15:11.5,0.0011834,1.758157422,1.606001363,-5.849575708,0.063404795,3.858446501
47:42.3,0.0011827,1.710673994,1.606003108,-0.524050816,0.063404788,3.862748738
38:47.7,0.0011791,1.647590814,1.606004854,-5.110481129,0.063404795,3.868333791
32:51.2,0.0011755,1.584059084,1.606006599,-5.709076703,0.063404792,3.87410385
42:20.3,0.0011706,1.523644512,1.606006599,-0.366295741,0.06340479,3.879568476
31:41.7,0.0011639,1.460877236,1.606006599,-5.062688779,0.063404799,3.885150039
46:59.3,0.0011559,1.397424046,1.606008344,-5.632219384,0.063404814,3.890633863
48:30.5,0.0011454,1.342458391,1.60601009,-5.914137182,0.063404531,3.895546965
27:47.1,0.0011347,1.282310855,1.60601358,-0.001040216,0.063404535,3.900748046
01:42.6,0.0011236,1.217417768,1.606018816,-5.673100231,0.063404547,3.906282485
30:26.2,0.0011106,1.152660817,1.606022307,-5.391074223,0.06340459,3.911801217
47:34.0,0.0010861,1.037495266,1.606032779,-5.05790134,0.063404641,3.921671053
16:47.1,0.0010744,0.985007979,1.606034524,-6.219437156,0.063404656,3.925966309
05:54.3,0.0010581,0.917837238,1.60603627,-4.643485127,0.063404693,3.931549617
23:19.2,0.0010416,0.84920042,1.60603627,-5.073714023,0.063404719,3.937042168
02:53.8,0.0010281,0.794557651,1.60603627,-5.577094905,0.063404736,3.941370585
33:10.0,0.0010108,0.725683468,1.606038015,-5.192944446,0.06340477,3.946899788
43:26.0,0.0009971,0.671778974,1.60603976,-3.753641225,0.063404788,3.951317216
30:25.6,0.0009772,0.59441551,1.606043251,-4.785900503,0.063404804,3.957071567
16:22.2,0.0009592,0.526548382,1.606046742,-4.725623812,0.063404816,3.962293592
45:21.2,0.0009442,0.471160358,1.606050232,-5.898896967,0.063404825,3.966590592
33:00.5,0.0009249,0.396666215,1.606055468,-4.408117005,0.063404828,3.972168665
43:06.2,0.0008995,0.319620401,1.606060704,-3.978073114,0.063404391,3.977989338
50:11.2,0.0008801,0.243291916,1.606064195,-5.055400284,0.063404392,3.983452218
28:40.8,0.0008612,0.161088654,1.606067686,-4.137852771,0.06340439,3.989007601
59:35.2,0.0008462,0.099586742,1.606069431,-5.183750051,0.063404389,3.993313329
50:44.3,0.0008273,0.016077973,1.606071176,-3.463359809,0.0634044,3.998908854
27:29.6,0.000809,6.211415623,1.606072922,-5.134156521,0.063404408,4.00463877
54:16.3,0.0007911,6.126519318,1.606076412,-4.955687878,0.06340442,4.010160992
45:41.7,0.0007743,6.035865171,1.606079903,-3.210952038,0.063404441,4.015756517
00:11.2,0.0007584,5.944579215,1.606085139,-3.80405506,0.063404445,4.021242087
35:14.9,0.0007456,5.871551148,1.606090375,-4.575239262,0.063404459,4.025560032
19:51.1,0.0007345,5.796545624,1.606095611,-4.740368354,0.06340447,4.029904156
46:41.2,0.0007224,5.698037496,1.606102592,-4.544542412,0.063404491,4.035428123
39:09.7,0.0007132,5.620605963,1.606107828,-4.20864158,0.063404505,4.039798428
47:19.8,0.000704,5.522963518,1.606111319,-2.711807071,0.063404528,4.045095502
36:07.2,0.0006986,5.440959223,1.606113064,-2.604755556,0.063404545,4.04945708
10:32.0,0.0006916,5.360345956,1.60611481,-3.409259838,0.063404566,4.053778515
52:27.0,0.0006852,5.251493261,1.606116555,-4.731910488,0.063404591,4.059529375
24:30.0,0.0006828,5.147768344,1.6061183,-1.716608114,0.063404626,4.064899753
11:49.0,0.0006805,5.063924472,1.606121791,-1.700783213,0.06340464,4.06925784
25:18.6,0.0006799,4.958309363,1.606125282,-2.342402898,0.063404664,4.074748646
06:46.7,0.000681,4.874844227,1.606128772,-2.697308621,0.063404674,4.07908928
25:13.5,0.0006846,4.769122653,1.606134008,-3.025084945,0.063404685,4.084594048
13:02.2,0.0006879,4.686214278,1.606139244,-2.978823248,0.063404692,4.088953881
01:22.0,0.0006913,4.579819006,1.60614448,-1.413653862,0.063404695,4.094545916
09:47.8,0.000703,4.454788855,1.606149716,-3.377695559,0.063404707,4.10143124
03:38.9,0.0007091,4.373939968,1.606151461,-2.950938122,0.063404702,4.105813761
59:41.0,0.0007221,4.272881913,1.606154952,-0.903188689,0.063404702,4.111433722
11:36.3,0.0007301,4.196570883,1.606156697,-3.136026799,0.063404705,4.11569407
51:02.8,0.0007456,4.102546505,1.606158443,-2.146018451,0.06340472,4.121266907
09:27.8,0.0007598,4.008696661,1.606160188,-2.487467685,0.063404759,4.126778656
56:54.8,0.0007712,3.935106598,1.606163679,-2.473279903,0.063404782,4.13114198
08:32.0,0.0008009,3.778869959,1.606175896,-2.448789443,0.063404343,4.14103276
54:42.5,0.0008181,3.692545975,1.606181132,-1.040814882,0.063404377,4.146624795
01:57.2,0.0008213,3.642830271,1.606186368,-2.57543926,0.063403719,4.149466191
49:00.1,0.0008521,3.544259311,1.606193349,-2.12144247,0.063404401,4.156468452
43:47.0,0.0008726,3.464415733,1.60619684,-0.174791234,0.063404423,4.162088413
10:21.3,0.0008869,3.402627587,1.606200331,-1.494841343,0.063404467,4.166395885
47:05.3,0.0009069,3.327464983,1.606202076,-0.695646352,0.06340451,4.171966976
26:51.9,0.0009205,3.266032884,1.606202076,-1.179894934,0.063404539,4.176316337
46:20.8,0.0009393,3.189671238,1.606202076,-1.471769836,0.063404571,4.181836813
31:56.8,0.0009543,3.134216892,1.606203821,-1.593145268,0.063404613,4.186201882
51:31.0,0.000977,3.048735901,1.606209057,-0.407787453,0.063404633,4.192956306
39:01.4,0.0009919,2.995417838,1.606212548,-0.410436863,0.063404645,4.197324865
26:36.5,0.0010109,2.91944191,1.606216039,-1.406822644,0.063404695,4.20310365
44:58.4,0.0010272,2.851637614,1.60622302,-1.777726054,0.063404682,4.20861889
05:10.3,0.0010433,2.780778992,1.606226511,-0.713961837,0.063404715,4.214497159
21:56.2,0.0010583,2.713637921,1.606230001,-1.186720917,0.063404746,4.2200124
58:36.0,0.0010716,2.648011796,1.606233492,-0.401334971,0.063404406,4.225585236
00:10.9,0.0010852,2.578399339,1.606235237,-0.518210944,0.063404438,4.23141289
15:12.0,0.0010952,2.528804063,1.606233492,-2.582104673,0.063404451,4.235692438
02:05.9,0.0011074,2.460491876,1.606233492,-1.146169937,0.063404488,4.241301926
43:57.8,0.0011198,2.394363096,1.606235237,-0.031023227,0.063404511,4.246893961
33:02.7,0.0011276,2.344153464,1.606238728,-6.220355199,0.063404546,4.251271247
53:12.3,0.0011339,2.285449314,1.606243964,-0.203707849,0.063404579,4.256796959
08:06.0,0.0011397,2.2375313,1.606247455,-2.276857058,0.063404593,4.261073016
53:59.1,0.001149,2.171809181,1.606252691,-0.907373989,0.063404658,4.266675523
37:08.0,0.0011568,2.106491979,1.606257927,-5.994595115,0.063404677,4.272272794
02:13.0,0.0011554,2.047061773,1.606259672,-2.149093721,0.063404717,4.277993983
39:10.1,0.0011506,1.981858018,1.606261417,-1.346128819,0.063404142,4.283575546
31:47.8,0.0011549,1.922012423,1.606261417,-5.839557518,0.06340422,4.289207723
25:28.8,0.0011547,1.859562797,1.606261417,-0.181022059,0.063404263,4.295016179
51:49.7,0.0011554,1.798572266,1.606259672,-0.054005723,0.063404305,4.300568071
27:41.8,0.001155,1.737956981,1.606261417,-5.6076818,0.063404343,4.306146144
21:54.6,0.001152,1.689773677,1.606261417,-5.191223551,0.063404368,4.310542628
47:03.0,0.001146,1.613235753,1.606264908,-6.146430034,0.063404404,4.317501256
20:12.2,0.0011429,1.551355104,1.606268399,-5.58738013,0.063404428,4.323070601
18:42.1,0.0011386,1.502449233,1.606270144,-4.898654009,0.063404433,4.327479303
32:13.2,0.0011343,1.440132252,1.606271889,-5.582393725,0.063404433,4.332992798
51:18.9,0.0011246,1.378092779,1.606271889,-5.913313387,0.063404436,4.338523747
53:43.2,0.0011538,1.256991363,1.606263163,-1.252781629,0.063404444,4.342220354
42:08.9,0.0011122,1.282836199,1.606271889,-6.244095168,0.06340445,4.346976376
37:57.1,0.0011064,1.232823789,1.606270144,-5.724933019,0.063404467,4.351381587
